marker,x_pos,y_pos,z_pos,msec,active
1,0.024464,-0.574484,-0.378822,5.253973,1
1,0.02624,-0.572912,-0.369528,5.372517,1
1,0.027181,-0.571033,-0.348822,5.372185,1
1,0.029442,-0.568538,-0.337605,5.240397,1
1,0.032031,-0.566916,-0.315851,5.368874,1
1,0.033911,-0.564883,-0.300751,5.374835,1
1,0.035904,-0.564472,-0.330236,5.252318,1
1,0.039512,-0.562235,-0.303314,5.374503,1
1,0.042581,-0.561869,-0.325394,5.375165,1
1,0.045861,-0.559851,-0.302288,5.251325,1
1,0.049268,-0.55852,-0.306818,5.375165,1
1,0.052493,-0.557066,-0.307249,5.375828,1
1,0.056486,-0.555783,-0.310507,5.261258,1
1,0.059807,-0.553846,-0.304348,5.375165,1
1,0.062949,-0.554881,-0.328323,5.375497,1
1,0.066219,-0.554014,-0.366005,5.250331,1
1,0.069393,-0.552343,-0.366304,5.37649,1
1,0.073613,-0.55057,-0.365685,5.374835,1
1,0.077325,-0.549972,-0.378059,5.251987,1
1,0.080913,-0.549086,-0.372725,5.375165,1
1,0.085068,-0.547518,-0.353134,5.375828,1
1,0.089114,-0.546077,-0.353739,5.375828,1
1,0.094629,-0.543674,-0.347242,5.251656,1
1,0.097484,-0.542909,-0.345625,5.374835,1
1,0.102451,-0.540479,-0.322197,5.251325,1
1,0.10567,-0.540018,-0.343699,5.376159,1
1,0.109773,-0.537367,-0.313251,5.375165,1
1,0.115149,-0.535464,-0.306719,5.250662,1
1,0.120629,-0.534094,-0.301472,5.375497,1
1,0.12455,-0.532078,-0.297092,5.378477,1
1,0.128486,-0.531622,-0.311308,5.245364,1
1,0.133975,-0.529886,-0.307455,5.379801,1
1,0.137895,-0.528953,-0.317421,5.375828,1
1,0.142639,-0.527114,-0.32958,5.24702,1
1,0.146375,-0.525724,-0.336689,5.378808,1
1,0.151763,-0.524635,-0.341555,5.376159,1
1,0.157489,-0.522899,-0.325256,5.247682,1
1,0.161998,-0.5212,-0.323631,5.402318,1
1,0.167188,-0.519564,-0.313576,5.353311,1
1,0.17204,-0.517567,-0.325867,5.246357,1
1,0.177458,-0.516149,-0.342064,5.380795,1
1,0.182351,-0.514413,-0.319565,5.374835,1
1,0.187167,-0.513475,-0.318733,5.254967,1
1,0.192933,-0.512284,-0.297941,5.371854,1
1,0.198835,-0.510902,-0.303358,5.375165,1
1,0.205261,-0.50932,-0.304007,5.265563,1
1,0.210446,-0.507125,-0.298069,5.363907,1
1,0.215424,-0.506042,-0.291428,5.381457,1
1,0.221429,-0.504924,-0.309055,5.23543,1
1,0.226599,-0.502929,-0.284613,5.375165,1
1,0.23303,-0.500643,-0.306921,5.376159,1
1,0.238681,-0.498737,-0.298161,5.375497,1
1,0.244161,-0.497493,-0.312284,5.249338,1
1,0.247511,-0.498338,-0.31852,5.37649,1
1,0.252388,-0.496795,-0.328421,5.25,1
1,0.257339,-0.494215,-0.32173,5.379801,1
1,0.262098,-0.493008,-0.341619,5.371854,1
1,0.267668,-0.49119,-0.346483,5.375497,1
